-164,65.5, DENSITY ,1270,1.47, NAMERICA
-164,67, DENSITY ,1195,1.17, NAMERICA
-164,67.5, DENSITY ,1171,1.17, NAMERICA
-164,68, DENSITY ,1146,1.17, NAMERICA
-164,68.5, DENSITY ,1120,1.17, NAMERICA
-163.5,65, DENSITY ,1294,1.13, NAMERICA
-163.5,65.5, DENSITY ,1270,1.47, NAMERICA
-163.5,67, DENSITY ,1195,1.17, NAMERICA
-163.5,67.5, DENSITY ,1171,1.17, NAMERICA
-163.5,68, DENSITY ,1146,1.17, NAMERICA
-163.5,68.5, DENSITY ,1120,1.47, NAMERICA
-163.5,69, DENSITY ,1095,1.17, NAMERICA
-163,65, DENSITY ,1294,1.13, NAMERICA
-163,65.5, DENSITY ,1270,1.47, NAMERICA
-163,67, DENSITY ,1195,1.17, NAMERICA
-163,67.5, DENSITY ,1171,1.17, NAMERICA
-163,68, DENSITY ,1146,1.17, NAMERICA
-163,68.5, DENSITY ,1120,1.47, NAMERICA
-163,69, DENSITY ,1095,1.17, NAMERICA
-163,69.5, DENSITY ,1070,1.17, NAMERICA
-162.5,65, DENSITY ,1294,1.13, NAMERICA
-162.5,65.5, DENSITY ,1270,1.13, NAMERICA
-162.5,67, DENSITY ,1195,1.17, NAMERICA
-162.5,67.5, DENSITY ,1171,1.17, NAMERICA
-162.5,68, DENSITY ,1146,1.47, NAMERICA
-162.5,68.5, DENSITY ,1120,1.47, NAMERICA
-162.5,69, DENSITY ,1095,1.17, NAMERICA
-162.5,69.5, DENSITY ,1070,1.17, NAMERICA
-162,65, DENSITY ,1294,1.13, NAMERICA
-162,65.5, DENSITY ,1270,1.13, NAMERICA
-162,66.5, DENSITY ,1220,1.17, NAMERICA
-162,67, DENSITY ,1195,1.17, NAMERICA
-162,67.5, DENSITY ,1171,1.17, NAMERICA
-162,68, DENSITY ,1146,1.47, NAMERICA
-162,68.5, DENSITY ,1120,1.47, NAMERICA
-162,69, DENSITY ,1095,1.17, NAMERICA
-162,69.5, DENSITY ,1070,1.17, NAMERICA
-161.5,65, DENSITY ,1294,1.17, NAMERICA
-161.5,65.5, DENSITY ,1270,1.13, NAMERICA
-161.5,66, DENSITY ,1245,1.22, NAMERICA
-161.5,66.5, DENSITY ,1220,1.22, NAMERICA
-161.5,67, DENSITY ,1195,1.17, NAMERICA
-161.5,67.5, DENSITY ,1171,1.17, NAMERICA
-161.5,68, DENSITY ,1146,1.47, NAMERICA
-161.5,68.5, DENSITY ,1120,1.47, NAMERICA
-161.5,69, DENSITY ,1095,1.17, NAMERICA
-161.5,69.5, DENSITY ,1070,1.17, NAMERICA
-161,65, DENSITY ,1294,1.13, NAMERICA
-161,65.5, DENSITY ,1270,1.13, NAMERICA
-161,66, DENSITY ,1245,1.37, NAMERICA
-161,66.5, DENSITY ,1220,1.37, NAMERICA
-161,67, DENSITY ,1195,1.17, NAMERICA
-161,67.5, DENSITY ,1171,1.17, NAMERICA
-161,68, DENSITY ,1146,1.47, NAMERICA
-161,68.5, DENSITY ,1120,1.17, NAMERICA
-161,69, DENSITY ,1095,1.17, NAMERICA
-161,69.5, DENSITY ,1070,1.17, NAMERICA
-160.5,65, DENSITY ,1294,1.13, NAMERICA
-160.5,65.5, DENSITY ,1270,1.13, NAMERICA
-160.5,66, DENSITY ,1245,1.37, NAMERICA
-160.5,66.5, DENSITY ,1220,1.37, NAMERICA
-160.5,67, DENSITY ,1195,1.17, NAMERICA
-160.5,67.5, DENSITY ,1171,1.17, NAMERICA
-160.5,68, DENSITY ,1146,1.47, NAMERICA
-160.5,68.5, DENSITY ,1120,1.17, NAMERICA
-160.5,69, DENSITY ,1095,1.17, NAMERICA
-160.5,69.5, DENSITY ,1070,1.17, NAMERICA
-160,65, DENSITY ,1294,1.47, NAMERICA
-160,65.5, DENSITY ,1270,1.13, NAMERICA
-160,66, DENSITY ,1245,1.13, NAMERICA
-160,66.5, DENSITY ,1220,1.13, NAMERICA
-160,67, DENSITY ,1195,1.17, NAMERICA
-160,67.5, DENSITY ,1171,1.17, NAMERICA
-160,68, DENSITY ,1146,1.47, NAMERICA
-160,68.5, DENSITY ,1120,1.17, NAMERICA
-160,69, DENSITY ,1095,1.17, NAMERICA
-160,69.5, DENSITY ,1070,1.17, NAMERICA
-159.5,65, DENSITY ,1294,1.47, NAMERICA
-159.5,65.5, DENSITY ,1270,1.13, NAMERICA
-159.5,66, DENSITY ,1245,1.13, NAMERICA
-159.5,66.5, DENSITY ,1220,1.13, NAMERICA
-159.5,67, DENSITY ,1195,1.17, NAMERICA
