-176.5,66, PERMA ,1245,35.33,35.85,27.72,20.64,19.89,1.73,1.8,1.26,0.95,0.92, CN , ASIA 
-176.5,66.5, PERMA ,1220,32.23,20.4,17.02,13.61,13.35,2.23,1.45,1.3,1.15,1.14, CN , ASIA 
-176.5,67, PERMA ,1195,35.33,35.85,27.72,20.64,19.89,1.73,1.8,1.26,0.95,0.92, CN , ASIA 
-176.5,67.5, PERMA ,1171,35.33,35.85,27.72,20.64,19.89,1.73,1.8,1.26,0.95,0.92, CN , ASIA 
-176,65, PERMA ,1294,32.43,21.35,17.72,14.06,13.77,2.2,1.5,1.3,1.14,1.12, CN , ASIA 
-176,65.5, PERMA ,1270,32.23,20.4,17.02,13.61,13.35,2.23,1.45,1.3,1.15,1.14, CN , ASIA 
-176,66, PERMA ,1245,32.23,20.4,17.02,13.61,13.35,2.23,1.45,1.3,1.15,1.14, CN , ASIA 
-176,66.5, PERMA ,1220,13.3,9.15,7.1,2.36,0,1,0.75,0.42,0.14,0, CN , ASIA 
-176,67, PERMA ,1195,13.3,9.15,7.1,2.36,0,1,0.75,0.42,0.14,0, CN , ASIA 
-176,67.5, PERMA ,1171,35.33,35.85,27.72,20.64,19.89,1.73,1.8,1.26,0.95,0.92, CN , ASIA 
-175.5,65, PERMA ,1294,32.23,20.4,17.02,13.61,13.35,2.23,1.45,1.3,1.15,1.14, CN , ASIA 
-175.5,65.5, PERMA ,1270,35.33,35.85,27.72,20.64,19.89,1.73,1.8,1.26,0.95,0.92, CN , ASIA 
-175.5,66, PERMA ,1245,32.23,20.4,17.02,13.61,13.35,2.23,1.45,1.3,1.15,1.14, CN , ASIA 
-175.5,66.5, PERMA ,1220,13.3,9.15,7.1,2.36,0,1,0.75,0.42,0.14,0, CN , ASIA 
-175.5,67, PERMA ,1195,35.33,35.85,27.72,20.64,19.89,1.73,1.8,1.26,0.95,0.92, CN , ASIA 
-175,65, PERMA ,1294,32.23,20.4,17.02,13.61,13.35,2.23,1.45,1.3,1.15,1.14, CN , ASIA 
-175,65.5, PERMA ,1270,32.23,20.4,17.02,13.61,13.35,2.23,1.45,1.3,1.15,1.14, CN , ASIA 
-175,66, PERMA ,1245,35.33,35.85,27.72,20.64,19.89,1.73,1.8,1.26,0.95,0.92, CN , ASIA 
-175,66.5, PERMA ,1220,35.33,35.85,27.72,20.64,19.89,1.73,1.8,1.26,0.95,0.92, CN , ASIA 
-174.5,65, PERMA ,1294,35.33,35.85,27.72,20.64,19.89,1.73,1.8,1.26,0.95,0.92, CN , ASIA 
-174.5,65.5, PERMA ,1270,35.33,35.85,27.72,20.64,19.89,1.73,1.8,1.26,0.95,0.92, CN , ASIA 
-174.5,66, PERMA ,1245,32.23,20.4,17.02,13.61,13.35,2.23,1.45,1.3,1.15,1.14, CN , ASIA 
-174,65, PERMA ,1294,35.33,35.85,27.72,20.64,19.89,1.73,1.8,1.26,0.95,0.92, CN , ASIA 
-174,65.5, PERMA ,1270,35.33,35.85,27.72,20.64,19.89,1.73,1.8,1.26,0.95,0.92, CN , ASIA 
-174,66, PERMA ,1245,35.33,35.85,27.72,20.64,19.89,1.73,1.8,1.26,0.95,0.92, CN , ASIA 
-174,66.5, PERMA ,1220,35.33,35.85,27.72,20.64,19.89,1.73,1.8,1.26,0.95,0.92, CN , ASIA 
-173.5,65, PERMA ,1294,35.33,35.85,27.72,20.64,19.89,1.73,1.8,1.26,0.95,0.92, CN , ASIA 
-173.5,65.5, PERMA ,1270,32.23,20.4,17.02,13.61,13.35,2.23,1.45,1.3,1.15,1.14, CN , ASIA 
-173.5,66, PERMA ,1245,32.23,20.4,17.02,13.61,13.35,2.23,1.45,1.3,1.15,1.14, CN , ASIA 
-173.5,66.5, PERMA ,1220,32.23,20.4,17.02,13.61,13.35,2.23,1.45,1.3,1.15,1.14, CN , ASIA 
-173,65, PERMA ,1294,13.3,9.15,7.1,2.36,0,1,0.75,0.42,0.14,0, CN , ASIA 
-173,65.5, PERMA ,1270,35.33,35.85,27.72,20.64,19.89,1.73,1.8,1.26,0.95,0.92, CN , ASIA 
-173,66, PERMA ,1245,35.33,35.85,27.72,20.64,19.89,1.73,1.8,1.26,0.95,0.92, CN , ASIA 
-173,66.5, PERMA ,1220,35.33,35.85,27.72,20.64,19.89,1.73,1.8,1.26,0.95,0.92, CN , ASIA 
-172.5,65, PERMA ,1294,13.3,9.15,7.1,2.36,0,1,0.75,0.42,0.14,0, CN , ASIA 
-172.5,65.5, PERMA ,1270,35.33,35.85,27.72,20.64,19.89,1.73,1.8,1.26,0.95,0.92, CN , ASIA 
-172.5,66, PERMA ,1245,32.23,20.4,17.02,13.61,13.35,2.23,1.45,1.3,1.15,1.14, CN , ASIA 
-172.5,66.5, PERMA ,1220,13.3,9.15,7.1,2.36,0,1,0.75,0.42,0.14,0, CN , ASIA 
-172,65.5, PERMA ,1270,35.33,35.85,27.72,20.64,19.89,1.73,1.8,1.26,0.95,0.92, CN , ASIA 
-172,66, PERMA ,1245,32.23,20.4,17.02,13.61,13.35,2.23,1.45,1.3,1.15,1.14, CN , ASIA 
-172,66.5, PERMA ,1220,35.33,35.85,27.72,20.64,19.89,1.73,1.8,1.26,0.95,0.92, CN , ASIA 
-171.5,65.5, PERMA ,1270,32.27,20.5,17.14,13.68,13.41,2.23,1.45,1.3,1.15,1.13, CN , ASIA 
-171.5,66, PERMA ,1245,13.3,9.15,7.1,2.36,0,1,0.75,0.42,0.14,0, CN , ASIA 
-171,65.5, PERMA ,1270,35.33,35.85,27.72,20.64,19.89,1.73,1.8,1.26,0.95,0.92, CN , ASIA 
-171,66, PERMA ,1245,35.33,35.85,27.72,20.64,19.89,1.73,1.8,1.26,0.95,0.92, CN , ASIA 
-170.5,66, PERMA ,1245,35.33,35.85,27.72,20.64,19.89,1.73,1.8,1.26,0.95,0.92, CN , ASIA 
-168,65.5, PERMA ,1270,32.23,20.4,17.02,13.61,13.35,2.23,1.45,1.3,1.15,1.14, CN , NAMERICA 
-167.5,65.5, PERMA ,1270,13.3,9.15,7.1,2.36,0,1,0.75,0.42,0.14,0, CN , NAMERICA 
-167,65, PERMA ,1294,13.3,9.15,7.1,2.36,0,1,0.75,0.42,0.14,0, CN , NAMERICA 
-167,65.5, PERMA ,1270,32.23,20.4,17.02,13.61,13.35,2.23,1.45,1.3,1.15,1.14, CN , NAMERICA 
-166.5,65, PERMA ,1294,35.33,35.85,27.72,20.64,19.89,1.73,1.8,1.26,0.95,0.92, CN , NAMERICA 
-166.5,65.5, PERMA ,1270,32.23,20.4,17.02,13.61,13.35,2.23,1.45,1.3,1.15,1.14, CN , NAMERICA 
-166,65, PERMA ,1294,35.33,35.85,27.72,20.64,19.89,1.73,1.8,1.26,0.95,0.92, CN , NAMERICA 
-166,65.5, PERMA ,1270,32.23,20.4,17.02,13.61,13.35,2.23,1.45,1.3,1.15,1.14, CN , NAMERICA 
-166,66, PERMA ,1245,19.33,8.6,17.12,15.43,11.53,0.93,0.95,1.86,1.52,1.15, CN , NAMERICA 
-166,68, PERMA ,1146,32.23,20.4,17.02,13.61,13.35,2.23,1.45,1.3,1.15,1.14, CN , NAMERICA 
-166,68.5, PERMA ,1120,32.23,20.4,17.02,13.61,13.35,2.23,1.45,1.3,1.15,1.14, CN , NAMERICA 
-165.5,65, PERMA ,1294,35.33,35.85,27.72,20.64,19.89,1.73,1.8,1.26,0.95,0.92, CN , NAMERICA 
-165.5,65.5, PERMA ,1270,13.3,9.15,7.1,2.36,0,1,0.75,0.42,0.14,0, CN , NAMERICA 
-165.5,66, PERMA ,1245,19.33,8.6,17.12,15.43,11.53,0.93,0.95,1.86,1.52,1.15, CN , NAMERICA 
-165.5,68, PERMA ,1146,32.23,20.4,17.02,13.61,13.35,2.23,1.45,1.3,1.15,1.14, CN , NAMERICA 
-165.5,68.5, PERMA ,1120,32.23,20.4,17.02,13.61,13.35,2.23,1.45,1.3,1.15,1.14, CN , NAMERICA 
-165,65, PERMA ,1294,13.3,9.15,7.1,2.36,0,1,0.75,0.42,0.14,0, CN , NAMERICA 
