-165.5,66, TEMVEG ,-111,3, ALASKA , NAMERICA 
-165.5,68, TEMVEG ,-111,3, ALASKA , NAMERICA 
-165.5,68.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-165,65, TEMVEG ,-111,3, ALASKA , NAMERICA 
-165,65.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-165,66, TEMVEG ,-111,3, ALASKA , NAMERICA 
-165,67.5, TEMVEG ,-111,3, MBL/CL , NAMERICA 
-165,68, TEMVEG ,-111,3, ALASKA , NAMERICA 
-165,68.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-164.5,65, TEMVEG ,-111,3, ALASKA , NAMERICA 
-164.5,65.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-164.5,66, TEMVEG ,-111,3, ALASKA , NAMERICA 
-164.5,67.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-164.5,68, TEMVEG ,-111,3, ALASKA , NAMERICA 
-164.5,68.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-164,65, TEMVEG ,-111,2, ALASKA , NAMERICA 
-164,65.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-164,67, TEMVEG ,-111,3, ALASKA , NAMERICA 
-164,67.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-164,68, TEMVEG ,-111,3, ALASKA , NAMERICA 
-164,68.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-163.5,65, TEMVEG ,-111,2, ALASKA , NAMERICA 
-163.5,65.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-163.5,67, TEMVEG ,-111,3, ALASKA , NAMERICA 
-163.5,67.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-163.5,68, TEMVEG ,-111,3, ALASKA , NAMERICA 
-163.5,68.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-163.5,69, TEMVEG ,-111,3, ALASKA , NAMERICA 
-163,65, TEMVEG ,-111,2, ALASKA , NAMERICA 
-163,65.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-163,67, TEMVEG ,-111,3, ALASKA , NAMERICA 
-163,67.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-163,68, TEMVEG ,-111,2, ALASKA , NAMERICA 
-163,68.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-163,69, TEMVEG ,-111,3, ALASKA , NAMERICA 
-163,69.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-162.5,65, TEMVEG ,-111,3, ALASKA , NAMERICA 
-162.5,65.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-162.5,67, TEMVEG ,-111,3, ALASKA , NAMERICA 
-162.5,67.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-162.5,68, TEMVEG ,-111,3, ALASKA , NAMERICA 
-162.5,68.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-162.5,69, TEMVEG ,-111,3, ALASKA , NAMERICA 
-162.5,69.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-162,65, TEMVEG ,-111,3, ALASKA , NAMERICA 
-162,65.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-162,66.5, TEMVEG ,-111,3, MBL/CL , NAMERICA 
-162,67, TEMVEG ,-111,4, ALASKA , NAMERICA 
-162,67.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-162,68, TEMVEG ,-111,2, ALASKA , NAMERICA 
-162,68.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-162,69, TEMVEG ,-111,3, ALASKA , NAMERICA 
-162,69.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-161.5,65, TEMVEG ,-111,3, ALASKA , NAMERICA 
-161.5,65.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-161.5,66, TEMVEG ,-111,3, ALASKA , NAMERICA 
-161.5,66.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-161.5,67, TEMVEG ,-111,4, ALASKA , NAMERICA 
-161.5,67.5, TEMVEG ,-111,2, ALASKA , NAMERICA 
-161.5,68, TEMVEG ,-111,2, ALASKA , NAMERICA 
-161.5,68.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-161.5,69, TEMVEG ,-111,3, ALASKA , NAMERICA 
-161.5,69.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-161,65, TEMVEG ,-111,4, ALASKA , NAMERICA 
-161,65.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-161,66, TEMVEG ,-111,3, ALASKA , NAMERICA 
-161,66.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-161,67, TEMVEG ,-111,4, ALASKA , NAMERICA 
-161,67.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-161,68, TEMVEG ,-111,2, ALASKA , NAMERICA 
-161,68.5, TEMVEG ,-111,2, ALASKA , NAMERICA 
-161,69, TEMVEG ,-111,3, ALASKA , NAMERICA 
-161,69.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-160.5,65, TEMVEG ,-111,4, ALASKA , NAMERICA 
-160.5,65.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-160.5,66, TEMVEG ,-111,3, ALASKA , NAMERICA 
-160.5,66.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-160.5,67, TEMVEG ,-111,2, ALASKA , NAMERICA 
-160.5,67.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-160.5,68, TEMVEG ,-111,2, ALASKA , NAMERICA 
-160.5,68.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-160.5,69, TEMVEG ,-111,3, ALASKA , NAMERICA 
-160.5,69.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-160,65, TEMVEG ,-111,4, ALASKA , NAMERICA 
-160,65.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-160,66, TEMVEG ,-111,3, ALASKA , NAMERICA 
-160,66.5, TEMVEG ,-111,4, ALASKA , NAMERICA 
-160,67, TEMVEG ,-111,4, ALASKA , NAMERICA 
-160,67.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-160,68, TEMVEG ,-111,3, ALASKA , NAMERICA 
-160,68.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-160,69, TEMVEG ,-111,3, ALASKA , NAMERICA 
-160,69.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-159.5,65, TEMVEG ,-111,2, ALASKA , NAMERICA 
-159.5,65.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-159.5,66, TEMVEG ,-111,3, ALASKA , NAMERICA 
-159.5,66.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-159.5,67, TEMVEG ,-111,4, ALASKA , NAMERICA 
-159.5,67.5, TEMVEG ,-111,2, ALASKA , NAMERICA 
-159.5,68, TEMVEG ,-111,3, ALASKA , NAMERICA 
-159.5,68.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-159.5,69, TEMVEG ,-111,3, ALASKA , NAMERICA 
-159.5,69.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-159,65, TEMVEG ,-111,2, ALASKA , NAMERICA 
-159,65.5, TEMVEG ,-111,4, ALASKA , NAMERICA 
-159,66, TEMVEG ,-111,3, ALASKA , NAMERICA 
-159,66.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-159,67, TEMVEG ,-111,4, ALASKA , NAMERICA 
-159,67.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-159,68, TEMVEG ,-111,3, ALASKA , NAMERICA 
-159,68.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-159,69, TEMVEG ,-111,3, ALASKA , NAMERICA 
-159,69.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-158.5,65, TEMVEG ,-111,2, ALASKA , NAMERICA 
-158.5,65.5, TEMVEG ,-111,4, ALASKA , NAMERICA 
-158.5,66, TEMVEG ,-111,3, ALASKA , NAMERICA 
-158.5,66.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-158.5,67, TEMVEG ,-111,4, ALASKA , NAMERICA 
-158.5,67.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-158.5,68, TEMVEG ,-111,3, ALASKA , NAMERICA 
-158.5,68.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-158.5,69, TEMVEG ,-111,3, ALASKA , NAMERICA 
-158.5,69.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-158,65, TEMVEG ,-111,4, ALASKA , NAMERICA 
-158,65.5, TEMVEG ,-111,4, ALASKA , NAMERICA 
-158,66, TEMVEG ,-111,3, ALASKA , NAMERICA 
-158,66.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-158,67, TEMVEG ,-111,4, ALASKA , NAMERICA 
-158,67.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-158,68, TEMVEG ,-111,3, ALASKA , NAMERICA 
-158,68.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-158,69, TEMVEG ,-111,3, ALASKA , NAMERICA 
-158,69.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-157.5,65, TEMVEG ,-111,5, ALASKA , NAMERICA 
-157.5,65.5, TEMVEG ,-111,4, ALASKA , NAMERICA 
-157.5,66, TEMVEG ,-111,2, ALASKA , NAMERICA 
-157.5,66.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-157.5,67, TEMVEG ,-111,4, ALASKA , NAMERICA 
-157.5,67.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-157.5,68, TEMVEG ,-111,3, ALASKA , NAMERICA 
-157.5,68.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-157.5,69, TEMVEG ,-111,3, ALASKA , NAMERICA 
-157.5,69.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-157,65, TEMVEG ,-111,5, ALASKA , NAMERICA 
-157,65.5, TEMVEG ,-111,4, ALASKA , NAMERICA 
-157,66, TEMVEG ,-111,3, ALASKA , NAMERICA 
-157,66.5, TEMVEG ,-111,4, ALASKA , NAMERICA 
-157,67, TEMVEG ,-111,4, ALASKA , NAMERICA 
-157,67.5, TEMVEG ,-111,2, ALASKA , NAMERICA 
-157,68, TEMVEG ,-111,3, ALASKA , NAMERICA 
-157,68.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-157,69, TEMVEG ,-111,3, ALASKA , NAMERICA 
-157,69.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-156.5,65, TEMVEG ,-111,4, ALASKA , NAMERICA 
-156.5,65.5, TEMVEG ,-111,5, ALASKA , NAMERICA 
-156.5,66, TEMVEG ,-111,2, ALASKA , NAMERICA 
-156.5,66.5, TEMVEG ,-111,4, ALASKA , NAMERICA 
-156.5,67, TEMVEG ,-111,2, ALASKA , NAMERICA 
-156.5,67.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-156.5,68, TEMVEG ,-111,3, ALASKA , NAMERICA 
-156.5,68.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-156.5,69, TEMVEG ,-111,3, ALASKA , NAMERICA 
-156.5,69.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-156,65, TEMVEG ,-111,4, ALASKA , NAMERICA 
-156,65.5, TEMVEG ,-111,5, ALASKA , NAMERICA 
-156,66, TEMVEG ,-111,4, ALASKA , NAMERICA 
-156,66.5, TEMVEG ,-111,4, ALASKA , NAMERICA 
-156,67, TEMVEG ,-111,2, ALASKA , NAMERICA 
-156,67.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-156,68, TEMVEG ,-111,3, ALASKA , NAMERICA 
-156,68.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-156,69, TEMVEG ,-111,3, ALASKA , NAMERICA 
-156,69.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-155.5,65, TEMVEG ,-111,4, ALASKA , NAMERICA 
-155.5,65.5, TEMVEG ,-111,4, ALASKA , NAMERICA 
-155.5,66, TEMVEG ,-111,4, ALASKA , NAMERICA 
-155.5,66.5, TEMVEG ,-111,4, ALASKA , NAMERICA 
-155.5,67, TEMVEG ,-111,2, ALASKA , NAMERICA 
-155.5,67.5, TEMVEG ,-111,2, ALASKA , NAMERICA 
-155.5,68, TEMVEG ,-111,2, ALASKA , NAMERICA 
-155.5,68.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
-155.5,69, TEMVEG ,-111,3, ALASKA , NAMERICA 
-155.5,69.5, TEMVEG ,-111,3, ALASKA , NAMERICA 
