-163,65, ELEV ,1294,301, NAMERICA 
-163,65.5, ELEV ,1270,179, NAMERICA 
-163,67, ELEV ,1195,95, NAMERICA 
-163,67.5, ELEV ,1171,112, NAMERICA 
-163,68, ELEV ,1146,603, NAMERICA 
-163,68.5, ELEV ,1120,369, NAMERICA 
-163,69, ELEV ,1095,176, NAMERICA 
-163,69.5, ELEV ,1070,34, NAMERICA 
-162.5,65, ELEV ,1294,196, NAMERICA 
-162.5,65.5, ELEV ,1270,220, NAMERICA 
-162.5,67, ELEV ,1195,163, NAMERICA 
-162.5,67.5, ELEV ,1171,173, NAMERICA 
-162.5,68, ELEV ,1146,599, NAMERICA 
-162.5,68.5, ELEV ,1120,491, NAMERICA 
-162.5,69, ELEV ,1095,200, NAMERICA 
-162.5,69.5, ELEV ,1070,58, NAMERICA 
-162,65, ELEV ,1294,129, NAMERICA 
-162,65.5, ELEV ,1270,122, NAMERICA 
-162,66.5, ELEV ,1220,17, NAMERICA 
-162,67, ELEV ,1195,251, NAMERICA 
-162,67.5, ELEV ,1171,403, NAMERICA 
-162,68, ELEV ,1146,640, NAMERICA 
-162,68.5, ELEV ,1120,583, NAMERICA 
-162,69, ELEV ,1095,217, NAMERICA 
-162,69.5, ELEV ,1070,61, NAMERICA 
-161.5,65, ELEV ,1294,166, NAMERICA 
-161.5,65.5, ELEV ,1270,220, NAMERICA 
-161.5,66, ELEV ,1245,51, NAMERICA 
-161.5,66.5, ELEV ,1220,51, NAMERICA 
-161.5,67, ELEV ,1195,200, NAMERICA 
-161.5,67.5, ELEV ,1171,599, NAMERICA 
-161.5,68, ELEV ,1146,589, NAMERICA 
-161.5,68.5, ELEV ,1120,589, NAMERICA 
-161.5,69, ELEV ,1095,349, NAMERICA 
-161.5,69.5, ELEV ,1070,61, NAMERICA 
-161,65, ELEV ,1294,156, NAMERICA 
-161,65.5, ELEV ,1270,98, NAMERICA 
-161,66, ELEV ,1245,112, NAMERICA 
-161,66.5, ELEV ,1220,81, NAMERICA 
-161,67, ELEV ,1195,237, NAMERICA 
-161,67.5, ELEV ,1171,562, NAMERICA 
-161,68, ELEV ,1146,711, NAMERICA 
-161,68.5, ELEV ,1120,566, NAMERICA 
-161,69, ELEV ,1095,542, NAMERICA 
-161,69.5, ELEV ,1070,78, NAMERICA 
-160.5,65, ELEV ,1294,288, NAMERICA 
-160.5,65.5, ELEV ,1270,156, NAMERICA 
-160.5,66, ELEV ,1245,163, NAMERICA 
-160.5,66.5, ELEV ,1220,112, NAMERICA 
-160.5,67, ELEV ,1195,406, NAMERICA 
-160.5,67.5, ELEV ,1171,494, NAMERICA 
-160.5,68, ELEV ,1146,684, NAMERICA 
-160.5,68.5, ELEV ,1120,606, NAMERICA 
-160.5,69, ELEV ,1095,559, NAMERICA 
-160.5,69.5, ELEV ,1070,108, NAMERICA 
-160,65, ELEV ,1294,298, NAMERICA 
-160,65.5, ELEV ,1270,169, NAMERICA 
-160,66, ELEV ,1245,119, NAMERICA 
-160,66.5, ELEV ,1220,102, NAMERICA 
-160,67, ELEV ,1195,240, NAMERICA 
